Time;EMMcp16
2.29664;4.95925
2.30359;4.9696
2.31053;4.98012
2.31748;4.99079
2.32442;5.00157
2.33137;5.01239
2.33831;5.0232
2.34525;5.03395
2.3522;5.04456
2.35914;5.05499
2.36609;5.06521
2.37303;5.07521
2.37998;5.08499
2.38692;5.09456
2.39387;5.10392
2.40081;5.11314
2.40775;5.12225
2.4147;5.13128
2.42164;5.14031
2.42859;5.14938
2.43554;5.15856
2.44249;5.16791
2.44943;5.17747
2.45638;5.18731
2.46332;5.19748
2.47027;5.208
2.47721;5.21883
2.48416;5.22992
2.4911;5.24126
2.49804;5.25282
2.50499;5.26453
2.51193;5.27634
2.51888;5.28818
2.52582;5.30002
2.53277;5.31181
2.53971;5.32349
2.54666;5.33504
2.5536;5.34642
2.56054;5.35761
2.56749;5.36859
2.57443;5.37933
2.58138;5.38984
2.58832;5.40015
2.59527;5.41025
2.60221;5.42015
2.60916;5.42986
2.6161;5.43935
2.62304;5.44866
2.62999;5.45782
2.63693;5.46684
2.64388;5.47572
2.65082;5.48445
2.65778;5.49302
2.66472;5.50142
2.67167;5.50961
2.67861;5.51756
2.68556;5.52525
2.6925;5.5327
2.69944;5.5399
2.70639;5.54685
2.71333;5.55357
2.72028;5.56013
2.72722;5.56657
2.73417;5.5729
2.74111;5.57909
2.74806;5.58519
2.755;5.59121
2.76194;5.59715
2.76889;5.60301
2.77583;5.60876
2.78278;5.61444
2.78972;5.62008
2.79667;5.62565
2.80361;5.63114
2.81056;5.63657
2.8175;5.64196
2.82444;5.64728
2.83139;5.65247
2.83833;5.65751
2.84528;5.66244
2.85222;5.66727
2.85917;5.67199
2.86611;5.67663
2.87307;5.68125
2.88001;5.68594
2.88696;5.69078
2.8939;5.6958
2.90084;5.70107
2.90779;5.70668
2.91473;5.71269
2.92168;5.71908
2.92862;5.72588
2.93557;5.73312
2.94251;5.74082
2.94946;5.74895
2.9564;5.75748
2.96334;5.76634
2.97029;5.77554
2.97723;5.78499
2.98418;5.79466
2.99112;5.80446
2.99807;5.81434
3.00501;5.82425
3.01196;5.83413
3.0189;5.84389
3.02584;5.85347
3.03279;5.86283
3.03973;5.87192
3.04668;5.88071
3.05362;5.8892
3.06057;5.8974
3.06751;5.90536
3.07446;5.91312
3.0814;5.92069
3.08834;5.92811
3.09529;5.93542
3.10223;5.9426
3.10919;5.94968
3.11613;5.95665
3.12308;5.96353
3.13002;5.97035
3.13697;5.97714
3.14391;5.98394
3.15086;5.99079
3.1578;5.9977
3.16475;6.00467
3.17169;6.01171
3.17863;6.01882
3.18558;6.02599
3.19252;6.03319
3.19947;6.0404
3.20641;6.04762
3.21336;6.05484
3.2203;6.06203
3.22725;6.06918
3.23419;6.07629
3.24113;6.08334
3.24808;6.09031
3.25502;6.09716
3.26197;6.10392
3.26891;6.11058
3.27586;6.11715
3.2828;6.12362
3.28975;6.12998
3.29669;6.13627
3.30363;6.14248
3.31058;6.14862
3.31752;6.15473
3.32447;6.16082
3.33142;6.16696
3.33837;6.17313
3.34531;6.17939
3.35226;6.18576
3.3592;6.19227
3.36615;6.19892
3.37309;6.20571
3.38003;6.21262
3.38698;6.2197
3.39392;6.22695
3.40087;6.23436
3.40781;6.24193
3.41476;6.24967
3.4217;6.25758
3.42865;6.2656
3.43559;6.27369
3.44253;6.28181
3.44948;6.28991
3.45642;6.29793
3.46337;6.30578
3.47031;6.31341
3.47726;6.32079
3.4842;6.32788
